                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4027,                0.66268,                0.90909,                 2.5968,              0.0033254,              0.0033254,              0.0033254
                      2,                 1.1992,                0.77273,                0.96292,                 2.3275,              0.0065928,              0.0065928,              0.0065928
                      3,                0.92619,                 0.7823,                0.95574,                 2.2819,              0.0097942,              0.0097942,              0.0097942
                      4,                0.84629,                0.80981,                0.95813,                 2.2712,               0.009703,               0.009703,               0.009703
                      5,                0.72718,                0.80144,                0.95813,                 2.2736,               0.009604,               0.009604,               0.009604
                      6,                0.64222,                0.79904,                0.96411,                 2.2627,               0.009505,               0.009505,               0.009505
                      7,                0.56632,                0.81699,                0.96411,                 2.2527,               0.009406,               0.009406,               0.009406
                      8,                0.50633,                0.80502,                0.95694,                 2.2499,               0.009307,               0.009307,               0.009307
                      9,                0.48099,                 0.8122,                0.96053,                 2.2431,               0.009208,               0.009208,               0.009208
                     10,                0.42537,                0.81579,                 0.9689,                 2.2434,               0.009109,               0.009109,               0.009109
                     11,                0.40057,                0.83014,                0.95933,                 2.2246,                0.00901,                0.00901,                0.00901
                     12,                0.36988,                0.80383,                0.95455,                 2.2462,               0.008911,               0.008911,               0.008911
                     13,                0.34119,                 0.8122,                0.95335,                  2.229,               0.008812,               0.008812,               0.008812
                     14,                0.34418,                0.82057,                0.95933,                 2.2359,               0.008713,               0.008713,               0.008713
                     15,                0.31553,                0.80502,                0.95455,                 2.2357,               0.008614,               0.008614,               0.008614
                     16,                0.28966,                0.80502,                0.96172,                 2.2449,               0.008515,               0.008515,               0.008515
                     17,                0.29034,                0.80861,                0.95574,                 2.2357,               0.008416,               0.008416,               0.008416
                     18,                0.26936,                0.80981,                0.96172,                 2.2303,               0.008317,               0.008317,               0.008317
                     19,                0.27439,                0.80622,                0.96292,                 2.2294,               0.008218,               0.008218,               0.008218
                     20,                0.25535,                0.79904,                0.96411,                 2.2512,               0.008119,               0.008119,               0.008119
                     21,                 0.2507,                 0.8122,                0.96411,                 2.2355,                0.00802,                0.00802,                0.00802
                     22,                0.22131,                0.80622,                0.95813,                 2.2497,               0.007921,               0.007921,               0.007921
                     23,                0.21855,                0.80981,                0.96292,                 2.2449,               0.007822,               0.007822,               0.007822
                     24,                0.22486,                 0.8122,                0.95694,                 2.2224,               0.007723,               0.007723,               0.007723
                     25,                0.20711,                0.79904,                0.95933,                 2.2352,               0.007624,               0.007624,               0.007624
                     26,                0.17683,                0.80622,                0.94617,                 2.2446,               0.007525,               0.007525,               0.007525
                     27,                0.20558,                0.80383,                0.95694,                 2.2388,               0.007426,               0.007426,               0.007426
                     28,                0.20073,                 0.8122,                0.95574,                 2.2314,               0.007327,               0.007327,               0.007327
                     29,                0.18241,                0.79426,                0.94856,                 2.2499,               0.007228,               0.007228,               0.007228
                     30,                0.17286,                0.80861,                0.95215,                 2.2276,               0.007129,               0.007129,               0.007129
                     31,                0.16335,                0.80981,                0.96053,                 2.2267,                0.00703,                0.00703,                0.00703
                     32,                0.16104,                0.80981,                0.95455,                 2.2318,               0.006931,               0.006931,               0.006931
                     33,                0.14762,                0.80861,                0.96411,                 2.2241,               0.006832,               0.006832,               0.006832
                     34,                0.15415,                0.80263,                0.95694,                 2.2395,               0.006733,               0.006733,               0.006733
                     35,                0.13968,                0.81699,                0.95813,                 2.2313,               0.006634,               0.006634,               0.006634
                     36,                0.13529,                0.80622,                0.95215,                 2.2279,               0.006535,               0.006535,               0.006535
                     37,                0.14701,                0.80144,                0.95455,                 2.2315,               0.006436,               0.006436,               0.006436
                     38,                0.13202,                0.82057,                0.95335,                 2.2175,               0.006337,               0.006337,               0.006337
                     39,                0.13286,                0.81938,                0.96053,                 2.2317,               0.006238,               0.006238,               0.006238
                     40,                0.13741,                0.81818,                0.95813,                 2.2139,               0.006139,               0.006139,               0.006139
                     41,                0.12827,                0.80622,                0.95335,                 2.2437,                0.00604,                0.00604,                0.00604
                     42,                0.12835,                0.81699,                0.96531,                 2.2224,               0.005941,               0.005941,               0.005941
                     43,                 0.1114,                0.82775,                0.96053,                 2.2144,               0.005842,               0.005842,               0.005842
                     44,                0.10655,                0.81938,                0.96172,                 2.2136,               0.005743,               0.005743,               0.005743
                     45,                0.10441,                 0.8134,                0.96172,                 2.2213,               0.005644,               0.005644,               0.005644
                     46,                0.09052,                0.82416,                0.96531,                 2.2094,               0.005545,               0.005545,               0.005545
                     47,                 0.0954,                  0.811,                0.95813,                 2.2433,               0.005446,               0.005446,               0.005446
                     48,                0.10765,                0.81579,                0.95574,                 2.2201,               0.005347,               0.005347,               0.005347
                     49,                0.08875,                0.80742,                0.96053,                 2.2232,               0.005248,               0.005248,               0.005248
                     50,                0.08756,                0.82536,                0.96053,                 2.2314,               0.005149,               0.005149,               0.005149
